item,"节目名称","收看人数","收看人次","收看时长（小时）","户均访问时长（分钟）","次均访问时长（分钟）","户均访问次数"
87672,"嫁个100分男人",2245,3695,"2399.25","64.12","38.96","1.65"
277033,"干掉客户",2244,2879,"1055.33","28.22","21.99","1.28"
340025,"惊天危机",2244,3197,"2565.23","68.59","48.14","1.42"
107393,"决战刹马镇",2240,3086,"1533.04","41.06","29.81","1.38"
334666,"神偷奶爸2 3D国语",2240,3241,"1121.27","30.03","20.76","1.45"
326916,"激战运钞车",2236,2919,"1770.22","47.50","36.39","1.31"
187452,"白夜行",2232,3794,"1434.29","38.56","22.68","1.70"
68409,"冰川时代4 3D预告片",2226,3545,"131.04","3.53","2.22","1.59"
64260,"龙门飞甲",2221,6245,"974.78","26.33","9.37","2.81"
197228,"青春荷尔蒙",2220,3759,"1701.66","45.99","27.16","1.69"
96129,"金刚",2205,3959,"2594.59","70.60","39.32","1.80"
203708,"PSY《Gentleman》",2200,7818,"464.37","12.66","3.56","3.55"
106335,"巧虎幼幼版",2191,180508,"7313.35","200.27","2.43","82.39"
108294,"PSY《哥哥正是我的style》",2189,6340,"325.23","8.91","3.08","2.90"
279233,"狂暴野人",2188,2903,"1115.24","30.58","23.05","1.33"
161850,"床上关系",2184,3169,"1013.22","27.84","19.18","1.45"
81878,"孤岛惊魂",2183,3301,"1714.28","47.12","31.16","1.51"
262975,"神偷艳贼",2179,2894,"1167.68","32.15","24.21","1.33"
188532,"洛克王国:圣龙的心愿",2169,5485,"2385.33","65.98","26.09","2.53"
278336,"谁是真英雄",2168,21437,"9414.64","260.55","26.35","9.89"
260987,"Sistar《So Cool》",2163,3598,"163.29","4.53","2.72","1.66"
279315,"绝命派对",2163,3436,"1807.73","50.14","31.57","1.59"
227249,"猛侠",2158,3176,"1577.08","43.85","29.79","1.47"
44445,"巴啦啦小魔仙",2157,24666,"5081.16","141.34","12.36","11.44"
102509,"赛尔号-雷伊与迈尔斯",2155,4664,"1965.17","54.71","25.28","2.16"
187532,"爱谁谁",2150,2865,"1893.16","52.83","39.65","1.33"
109045,"大兵小将",2148,3032,"1842.32","51.46","36.46","1.41"
226065,"少女时代《Genie》日文版",2148,3565,"196.28","5.48","3.30","1.66"
121049,"致命伴旅",2146,3391,"1993.14","55.73","35.27","1.58"
93342,"哆啦A梦第2部",2134,55081,"6390.64","179.68","6.96","25.81"
92652,"龙门飞甲 3D预告片",2133,3835,"85.79","2.41","1.34","1.80"
193263,"死囚大逃杀",2128,3017,"2157.42","60.83","42.91","1.42"
102427,"憨豆的黄金周",2124,3914,"1745.86","49.32","26.76","1.84"
94571,"青春期3 完整版",2112,3712,"1569.97","44.60","25.38","1.76"
333072,"薄熙来二审宣判现场",2109,2506,"127.09","3.62","3.04","1.19"
228138,"《富春山居图》特辑",2105,2809,"282.54","8.05","6.04","1.33"
124662,"变形金刚2:卷土重来",2101,3778,"2279.08","65.09","36.19","1.80"
44564,"小鸡不好惹",2099,24396,"3388.55","96.86","8.33","11.62"
237348,"4Minute《喜欢水吗》",2098,3173,"155.30","4.44","2.94","1.51"
267767,"王立军出庭指证薄熙来滥用职权现场",2097,2901,"121.77","3.48","2.52","1.38"
279072,"吸血鬼大电影",2094,2935,"1479.73","42.40","30.25","1.40"
227656,"杀手乔",2087,2960,"1518.99","43.67","30.79","1.42"
246000,"中国好声音第2季第1期 姚贝娜《也许明天》",2085,3446,"210.39","6.05","3.66","1.65"
285482,"江湖正道",2085,27044,"12371.73","356.02","27.45","12.97"
280809,"实拍薄熙来案宣判现场 一审被判无期",2083,2580,"503.44","14.50","11.71","1.24"
203301,"超能特工狗",2078,3225,"1871.71","54.04","34.82","1.55"
44646,"盖亚奥特曼",2075,14456,"2498.05","72.23","10.37","6.97"
80674,"神兽金刚",2074,28973,"4115.30","119.05","8.52","13.97"
88226,"猫狗大战2",2071,3115,"1523.65","44.14","29.35","1.50"
19867,"人在囧途",2069,3607,"1985.09","57.57","33.02","1.74"
44443,"兔年顶呱呱",2065,6274,"2947.04","85.63","28.18","3.04"
120757,"画皮2 3D",2056,3558,"1070.80","31.25","18.06","1.73"
330363,"同在屋檐下",2055,26389,"12016.34","350.84","27.32","12.84"
178615,"海绵宝宝历险记",2051,4416,"1697.37","49.65","23.06","2.15"
280927,"诡魇",2049,2866,"1764.43","51.67","36.94","1.40"
277293,"杀戮季节",2045,2880,"1757.27","51.56","36.61","1.41"
44336,"超银河传说",2043,5770,"2712.38","79.66","28.21","2.82"
258444,"别跟我谈高富帅",2043,3020,"2189.87","64.31","43.51","1.48"
276642,"僵尸猎手",2042,2889,"1475.31","43.35","30.64","1.41"
268345,"薄熙来自辩90分钟 曝王谷二人如胶似漆",2040,2813,"176.80","5.20","3.77","1.38"
338324,"Nine Muses - Gun",2040,2586,"104.81","3.08","2.43","1.27"
246724,"铁血玫瑰",2039,23766,"11128.72","327.48","28.10","11.66"
223390,"李馨巧《Someone Like You》",2038,3086,"140.62","4.14","2.73","1.51"
44306,"甜心格格",2036,31056,"6524.43","192.27","12.61","15.25"
157565,"黑蛇呻吟",2018,3036,"1270.19","37.77","25.10","1.50"
81933,"危险性游戏3",2017,3588,"1080.09","32.13","18.06","1.78"
