item,"节目名称",channel,"收看人数","收看人次","收看时长（小时）","户均访问时长（分钟）","次均访问时长（分钟）","户均访问次数"
51644,"蜡笔小新第1部",少儿,3084,73596,"7499.02","145.90","6.11","23.86"
255660,"反恐行动之血战到底",华语电影,3076,4409,"715.13","13.95","9.73","1.43"
330038,"环大西洋",海外电影,3071,3995,"1603.07","31.32","24.08","1.30"
264386,"金素丽19禁新单《Bikini》",音乐,3061,5642,"221.85","4.35","2.36","1.84"
326736,"到爱的距离",电视剧,3060,31668,"12656.71","248.17","23.98","10.35"
338720,"赏金杀手",海外电影,3043,4102,"1792.56","35.34","26.22","1.35"
167364,"尖峰时刻3",海外电影,3016,4536,"3291.32","65.48","43.54","1.50"
219113,"人间蒸发",华语电影,3010,4568,"2124.12","42.34","27.90","1.52"
270288,"卖淫女供性交易过程",生活纪实,2995,4307,"113.68","2.28","1.58","1.44"
222554,"断奶",电视剧,2977,38094,"13586.78","273.83","21.40","12.80"
270248,"孙俪张译《稳稳的幸福》（电视剧辣妈正传主题曲MV）",音乐,2971,4848,"227.53","4.60","2.82","1.63"
98093,"痞子英雄之全面开战",华语电影,2970,5215,"3673.68","74.22","42.27","1.76"
178744,"大上海",华语电影,2953,4816,"3632.00","73.80","45.25","1.63"
249306,"小男人遇上大女人",电视剧,2930,33142,"14943.82","306.02","27.05","11.31"
268645,"假如生活欺骗了你",电视剧,2927,42668,"18169.59","372.45","25.55","14.58"
20346,"邻家特工",海外电影,2926,4390,"2610.84","53.54","35.68","1.50"
137165,"白鹿原",华语电影,2915,4673,"2810.67","57.85","36.09","1.60"
282086,"少女时代《Genie》3D版",音乐,2914,4531,"164.53","3.39","2.18","1.55"
62958,"那些年，我们一起追的女孩",华语电影,2904,4677,"3100.15","64.05","39.77","1.61"
284970,"胜女的代价2",电视剧,2904,15200,"7129.96","147.31","28.14","5.23"
244496,"王牌情敌",华语电影,2896,4309,"2878.41","59.64","40.08","1.49"
326918,"法外风云",电视剧,2894,24804,"11369.95","235.73","27.50","8.57"
138745,"起跑线儿歌",少儿,2887,156340,"5704.26","118.55","2.19","54.15"
209325,"盛夏晚晴天",电视剧,2851,32314,"10770.18","226.66","20.00","11.33"
288562,"劫机惊魂",海外电影,2838,3735,"1810.87","38.28","29.09","1.32"
270371,"双煞",华语电影,2836,4510,"1638.99","34.68","21.80","1.59"
263351,"爱情悠悠药草香",电视剧,2829,40555,"18111.04","384.12","26.79","14.34"
124591,"刺客联盟",海外电影,2803,4959,"2413.30","51.66","29.20","1.77"
191981,"海军陆战队员3",海外电影,2799,3957,"2482.97","53.23","37.65","1.41"
331659,"卑鄙的我2之萌宠记",少儿,2790,5507,"388.29","8.35","4.23","1.97"
160400,"宠物小精灵",少儿,2788,48562,"9027.58","194.28","11.15","17.42"
182504,"金泫雅张贤胜《Trouble Maker》",音乐,2788,5406,"323.54","6.96","3.59","1.94"
267223,"猎杀本拉登",海外电影,2774,3965,"2337.46","50.56","35.37","1.43"
272780,"钢铁苍穹",海外电影,2769,3857,"2270.40","49.20","35.32","1.39"
281902,"吴莫愁《我相信》",音乐,2765,3777,"196.67","4.27","3.12","1.37"
272160,"朵拉美人鱼王国探险",少儿,2764,7752,"2980.26","64.69","23.07","2.80"
220066,"老米家的婚事",电视剧,2758,37375,"14143.40","307.69","22.71","13.55"
188529,"巴啦啦小魔仙大电影",少儿,2757,7515,"3571.16","77.72","28.51","2.73"
238216,"羊羊快乐的一年",少儿,2755,25457,"3856.07","83.98","9.09","9.24"
341131,"快乐大本营之女神高圆圆遭逼婚",娱乐综艺,2747,4118,"2479.18","54.15","36.12","1.50"
144805,"王者之剑 3D",海外电影,2709,4159,"1484.14","32.87","21.41","1.54"
93341,"蜡笔小新第3部",少儿,2703,100032,"9437.73","209.49","5.66","37.01"
68407,"双人床条约",华语电影,2702,4418,"1593.19","35.38","21.64","1.64"
171953,"非常完美",华语电影,2698,3698,"2058.60","45.78","33.40","1.37"
265220,"死人的复仇",海外电影,2698,3986,"2176.82","48.41","32.77","1.48"
20345,"特工008",海外电影,2695,3946,"1577.46","35.12","23.99","1.46"
227471,"Sistar《Alone》",音乐,2692,4777,"230.11","5.13","2.89","1.77"
326784,"几宗罪之性与罪",华语电影,2685,4329,"1848.00","41.30","25.61","1.61"
208994,"儿童歌曲",少儿,2684,72260,"2974.98","66.50","2.47","26.92"
94511,"十万个冷笑话",少儿,2679,22344,"1559.41","34.93","4.19","8.34"
268339,"《狄仁杰之神都龙王》智勇萌三人组“亦敌亦友亦恋人”",NULL,2677,3445,"168.94","3.79","2.94","1.29"
197288,"两个爸爸",电视剧,2668,36201,"13168.89","296.15","21.83","13.57"
283077,"《极品飞车》电影版预告首发 豪车竞技极速狂飙",NULL,2661,3325,"95.68","2.16","1.73","1.25"
263400,"兔小贝儿歌",少儿,2632,142139,"4848.18","110.52","2.05","54.00"
19147,"奋斗",华语电影,2630,4246,"2105.51","48.03","29.75","1.61"
279091,"天台爱情",华语电影,2626,3931,"2639.32","60.30","40.28","1.50"
261605,"校花诡异事件",华语电影,2622,4199,"2864.49","65.55","40.93","1.60"
110659,"芭比之梦想豪宅",少儿,2612,53489,"2876.13","66.07","3.23","20.48"
287730,"《特殊身份》曝终极预告 众角色浮出水面",华语电影,2607,3602,"94.37","2.17","1.57","1.38"
124627,"爆笑角斗士",华语电影,2599,3782,"2339.07","54.00","37.11","1.46"
208031,"在一起",华语电影,2596,4111,"2788.40","64.45","40.70","1.58"
275963,"世贸中心",海外电影,2589,3447,"1530.40","35.47","26.64","1.33"
62845,"芭比之公主学校",少儿,2571,15168,"4213.97","98.34","16.67","5.90"
186988,"未来战警",海外电影,2567,3577,"1878.75","43.91","31.51","1.39"
100397,"托马斯和他的朋友们",少儿,2564,35009,"3183.52","74.50","5.46","13.65"
124532,"特工绍特",海外电影,2553,4574,"2673.29","62.83","35.07","1.79"
262461,"寂静岭2",海外电影,2548,3785,"1975.18","46.51","31.31","1.49"
18882,"万有引力",华语电影,2547,3958,"1967.27","46.34","29.82","1.55"
124465,"笔仙",华语电影,2537,3797,"1762.38","41.68","27.85","1.50"
219084,"四戒",华语电影,2530,3946,"2841.65","67.39","43.21","1.56"
259893,"冰河世纪",少儿,2525,4880,"2364.98","56.20","29.08","1.93"
150958,"狂蟒之灾4:血之踪迹",海外电影,2514,3551,"1994.00","47.59","33.69","1.41"
254986,"《环太平洋》14分钟独家重磅花絮",海外电影,2514,3333,"470.69","11.23","8.47","1.33"
264295,"艳遇",华语电影,2512,3702,"1113.74","26.60","18.05","1.47"
147936,"夺宝联盟",海外电影,2511,3836,"2373.55","56.72","37.13","1.53"
336424,"《西游记之大闹天宫》30秒预告片",华语电影,2510,3197,"44.37","1.06","0.83","1.27"
300972,"好声音2珍藏版 一起追过的歌曲",NULL,2508,3424,"1262.24","30.20","22.12","1.37"
262670,"赤警威龙",海外电影,2497,3680,"2257.32","54.24","36.80","1.47"
277607,"王菲发微博宣布离婚 李亚鹏：女儿归我",娱乐综艺,2489,3024,"130.32","3.14","2.59","1.21"
156276,"钢铁侠2",海外电影,2480,4147,"2514.49","60.83","36.38","1.67"
254210,"巧虎来啦",少儿,2460,19152,"3922.41","95.67","12.29","7.79"
334872,"金玉满堂",电视剧,2455,25045,"10975.26","268.23","26.29","10.20"
279546,"蔡依林《旅程》",音乐,2454,3367,"163.68","4.00","2.92","1.37"
222268,"石器时代之百万大侦探",华语电影,2451,3497,"2275.81","55.71","39.05","1.43"
276175,"女人进城",电视剧,2451,29386,"12808.93","313.56","26.15","11.99"
334870,"诸神之锤",海外电影,2443,3134,"1675.54","41.15","32.08","1.28"
